,name,iso_a3,currency_code,local_price,dollar_ex,GDP_dollar,GDP_local,date
1197,South Korea,KOR,KRW,4500.0,1156.1,31902.415,37177718.876,2020-01-14
1198,Austria,AUT,EUR,3.88,0.823011399,48837.35,42791.664,2021-01-01
1199,Uruguay,URY,UYU,164.0,35.1695,18645.281,572655.634,2019-07-09
1200,Philippines,PHL,PHP,142.0,49.426,3512.195,181916.898,2020-07-01
1201,Australia,AUS,AUD,6.48,1.299967501,53252.586,77130.439,2021-01-01
1202,Venezuela,VEN,VEF,3550.0,676.6047,3676.384,,2017-01-01
1203,Germany,DEU,EUR,4.12,0.853205921,44636.833,39526.719,2018-07-01
1204,Singapore,SGP,SGD,5.8,1.32255,61162.097,84460.269,2018-01-01
1205,Finland,FIN,EUR,4.88,0.879623521,48667.723,43468.924,2020-07-01
1206,Peru,PER,PEN,11.0,3.3929,6430.416,21706.406,2017-01-01
1207,Sri Lanka,LKA,LKR,580.0,181.45,4082.694,729760.859,2020-01-14
1208,UAE,ARE,AED,14.0,3.673,41971.753,154141.262,2018-01-01
1209,Nicaragua,NIC,NIO,103.0,31.5872,2147.856,64544.529,2018-07-01
1210,Israel,ISR,ILS,17.0,3.5667,42249.336,151698.698,2019-07-09
1211,Ukraine,UKR,UAH,39.0,24.8,2134.773,46689.41,2016-07-01
1212,Ukraine,UKR,UAH,50.0,26.199,2655.99,70657.179,2018-07-01
1213,Guatemala,GTM,GTQ,25.0,7.7063,4388.497,33783.968,2020-01-14
1214,Ireland,IRL,EUR,4.2,0.899159286,80608.825,71998.004,2020-01-14
1215,Netherlands,NLD,EUR,4.09,0.879623521,52672.504,47045.905,2020-07-01
1216,Colombia,COL,COP,12950.0,3460.5,5366.991,19821777.884,2021-01-01
1217,Brazil,BRA,BRL,16.5,3.2343,9117.558,31815.796,2017-07-01
1218,South Korea,KOR,KRW,4400.0,1069.25,31600.735,35740457.554,2018-01-01
1219,Austria,AUT,EUR,3.76,0.872486149,51234.477,43364.29,2019-01-01
1220,Switzerland,CHE,CHF,6.5,0.89155,86105.978,80850.5,2021-01-01
1221,Hungary,HUN,HUF,900.0,294.6172,13083.4,3683282.401,2017-01-01
1222,Chile,CHL,CLP,2600.0,605.935,15003.77,9735221.284,2018-01-01
1223,Costa Rica,CRI,CRC,2290.0,568.53,12185.259,6915180.148,2018-01-01
1224,China,CHN,CNY,20.5,6.622,8760.259,59208.402,2018-07-01
1225,Japan,JPN,JPY,390.0,108.44,39850.331,4400400.278,2019-01-01
1226,Taiwan,TWN,TWD,72.0,31.172,25825.566,778967.95,2019-07-09
1227,New Zealand,NZL,NZD,6.5,1.513546239,42274.23,64121.47,2020-01-14
1228,Thailand,THA,THB,119.0,31.95,6593.816,223792.876,2018-01-01
1229,Philippines,PHL,PHP,140.0,53.487,3153.314,158938.764,2018-07-01
1230,Ukraine,UKR,UAH,57.0,23.99,3690.349,95330.292,2020-01-14
1231,Hong Kong,HKG,HKD,20.0,7.83435,48310.038,378678.232,2019-01-01
1232,Croatia,HRV,HRK,22.0,6.5981,15046.079,12734.834,2019-07-09
1233,New Zealand,NZL,NZD,6.2,1.479289941,42757.124,61702.944,2019-01-01
1234,Lithuania,LTU,EUR,2.85,0.899159286,19617.714,17522.104,2020-01-14
1235,Oman,OMN,OMR,1.1,0.385,19069.311,7332.15,2020-07-01
1236,Chile,CHL,CLP,2550.0,663.355,13722.878,9289553.72,2017-07-01
1237,Taiwan,TWN,TWD,69.0,30.4775,23070.733,745769.126,2017-07-01
1238,Mexico,MEX,MXN,48.0,18.6635,9542.783,180611.645,2018-01-01
1239,Croatia,HRV,HRK,21.0,6.47885,15046.079,12734.834,2019-01-01
1240,Nicaragua,NIC,NIO,103.0,32.3607,2008.404,63371.596,2019-01-01
1241,Hungary,HUN,HUF,900.0,298.7502,16782.01,4878152.768,2020-01-14
1242,Czech Republic,CZE,CZK,75.0,25.81175,18553.304,453441.216,2017-01-01
1243,Costa Rica,CRI,CRC,2250.0,554.33,11986.918,6529710.506,2017-01-01
1244,South Korea,KOR,KRW,4400.0,1196.45,29274.232,33987783.506,2017-01-01
1245,Switzerland,CHE,CHF,6.5,0.96085,82588.943,81324.644,2018-01-01
1246,Belgium,BEL,EUR,4.1,0.853205921,44274.073,39205.488,2018-07-01
1247,Ireland,IRL,EUR,4.3,0.892339267,79182.663,67019.323,2019-07-09
1248,South Africa,ZAF,ZAR,31.0,14.391,6622.629,95707.478,2020-01-14
1249,Argentina,ARG,ARS,70.0,16.9675,12772.868,188760.956,2017-07-01
1250,Italy,ITA,EUR,4.2,0.875695083,31190.794,28186.21,2017-07-01
1251,Estonia,EST,EUR,3.15,0.853205921,20430.567,18091.635,2018-07-01
1252,Indonesia,IDN,IDR,32000.0,14130.0,3945.583,56173024.391,2019-07-09
1253,Thailand,THA,THB,119.0,34.965,5840.05,200008.385,2016-07-01
1254,Jordan,JOR,JOD,1.95,0.71005,4078.871,2891.914,2018-07-01
1255,United States,USA,USD,4.71,1.0,63165.278,63165.278,2019-07-09
1256,Switzerland,CHE,CHF,6.5,0.94125,84474.293,83942.879,2020-07-01
1257,Canada,CAN,CAD,6.55,1.2459,45192.368,58656.795,2018-01-01
